author,published_at,updated_at,like_count,text,scraped_at
@satosan179,2025-03-12T01:39:06Z,2025-03-12T01:39:06Z,0,"Saya punya pertanyaan. Saya seorang wanita. Pada pagi hari maraton, apakah Anda akan bersepeda dari hotel ke titik awal? Atau haruskah saya panggil mobil?",2025-05-24T11:15:19.538469Z
@TheoKrassie,2025-03-05T16:59:09Z,2025-03-05T16:59:09Z,1,Cheeringnya bikin semangat. Musik gamelan balinya bikin suasana berasa otentik bali ya kak,2025-05-24T11:15:19.538469Z
@NewSekaaGongJaksel,2024-12-21T23:29:21Z,2024-12-21T23:29:21Z,1,"<a href=""https://www.youtube.com/watch?v=Pkv8tB-0vhU&amp;t=1130"">18:50</a> 6jam-9menit great job 😊",2025-05-24T11:15:19.538469Z
@jalanbagus4072,2024-12-13T16:06:39Z,2024-12-13T16:06:39Z,1,This marathon is my dream. Someday I will run there.,2025-05-24T11:15:19.538469Z
@FortesAdiwira,2024-11-07T11:38:44Z,2024-11-07T11:38:44Z,1,Keren banget om,2025-05-24T11:15:19.538469Z
@ArchieFunky,2024-10-21T10:56:27Z,2024-10-21T10:56:27Z,1,Bang gak ada rencana bikin video tutorial lari buat pemula kah?,2025-05-24T11:15:19.538469Z
@harrynugroho9780,2024-09-01T04:41:19Z,2024-09-01T04:41:19Z,1,Makasih video FM nya yg brutal dg tanjakannya wkwk,2025-05-24T11:15:19.538469Z
@dioabdullah851,2024-08-31T15:36:06Z,2024-08-31T15:36:06Z,0,Wihh ada aku pakai baju riot hehe🎉,2025-05-24T11:15:19.538469Z
@alvindewanata,2024-08-31T10:28:36Z,2024-08-31T10:28:36Z,1,"Mau tanya bang, waktu pengambilan racepack kemarin, apa boleh misal dateng bawa istri atau anak? Atau hanya boleh peserta saja yg masuk?",2025-05-24T11:15:19.538469Z
@triyopamungkas4218,2024-08-31T06:36:46Z,2024-08-31T06:36:46Z,2,Ujan yah pas mulai semangat om,2025-05-24T11:15:19.538469Z
@sandhigunawan6871,2024-08-30T23:26:18Z,2024-08-30T23:26:18Z,2,"Thanks liputan nya bro Hanseen..<br>Kenapa Maybank tidak memakai nama Bali untuk even yang setiap Tahun digelar..?<br>Sedangkan Bank2 besar Dunia dan lokal sudah lama menggunakan nama Kota tempat diselenggarkannya even tsb..<br>Bank of America Chicago Marathon <br>Standard Chartered Singapore  Martahon ( SCSM ) dll.<br>Bank Mandiri Jogja Marathon <br>Bank Jateng Borobodur Marathon..<br>Wlpn Bali lebih terkenal dari Maybanknya ,lebih elok dan berbobot klo disertakan menjadi Maybank Bali Marathon ..tksh.",2025-05-24T11:15:19.538469Z
@fatur2761,2024-08-30T17:48:23Z,2024-08-30T17:48:23Z,2,Event kayak ini dapat file gpx ga om?,2025-05-24T11:15:19.538469Z
@willysvandestio1294,2024-08-28T17:41:06Z,2024-08-28T17:41:06Z,2,Ih gokil bgt panutan aquuuu koko hansss,2025-05-24T11:15:19.538469Z
@abdielshop9859,2024-08-28T05:50:46Z,2024-08-28T05:50:46Z,3,"Sambutan masyarakat bali cukup baik dibandingkan yg di Bandung kemarin....penuh klakson tiada henti,,",2025-05-24T11:15:19.538469Z
@smdiary2965,2024-08-28T02:14:19Z,2024-08-28T02:14:19Z,2,"plus minusnya kalo jalur nya di jalan pedesaan, jalanya kecil, ga mungkin dipake setengah jalan, hasilnya ya gitu, kendaraan numpuk malah membahayakan asap ekndaraanya. kalo jalan besars ebernya cukup kok pake ida bagus mantra, terus di arahin ke  arah tengah kota bangli. tutup jalur aja. karena jalur itu banyak jalan tembus. toh tutup 5-7 jam doang. di kota bang;inya bisa setengah jalur, jalanya lmyan lebar.",2025-05-24T11:15:19.538469Z
@HaekalSandewang,2024-08-28T00:32:48Z,2024-08-28T00:32:48Z,2,"banyak saya lihat hal-hal yang jadinya tidak penting karena hujan, namun tidak semua orang sama mas. Setiap fasilitas ada untuk siapa pun yg mau menggunakannya, hujan juga diluar kendali penitia, lebih baik menyediakan, mau dipakai silahkan. Saya rasa itu sudah jadi standar race besar, klo ga mau pakai tinggal ga usah dipakai hehehehe.",2025-05-24T11:15:19.538469Z
@nandaananda5707,2024-08-27T23:48:21Z,2024-08-27T23:48:21Z,2,Selamat om &amp; thanks videonya cukup mengobati kekecewaan gagal dpt slot. Serasa ikut larinya &amp; salut sm pelari yg tangguh berlari 42K 💪😊,2025-05-24T11:15:19.538469Z
@TatuIksazila,2024-08-27T21:57:57Z,2024-08-27T21:57:57Z,2,Tahun depan wajib ikutan,2025-05-24T11:15:19.538469Z
@bocilsakti3526,2024-08-27T15:07:36Z,2024-08-27T15:07:36Z,2,"Best lah masih kuat ngepush menjelang finish, rasanya gimana marathon hujan gitu? Malah makin seger ya?",2025-05-24T11:15:19.538469Z
@Jian_Septian,2024-08-27T06:30:04Z,2024-08-27T06:30:04Z,2,waahhh kayanya seruu maybank tahun inii.. sayang ga dapet slot :(,2025-05-24T11:15:19.538469Z
@s1ct,2024-08-27T02:19:59Z,2024-08-27T02:19:59Z,2,Rollingnya asik ommmm,2025-05-24T11:15:19.538469Z
@evanr5394,2024-08-27T01:57:52Z,2024-08-27T01:57:52Z,3,Pertamax! Hahaha akhirnya diupload. Congrats om Hanseen,2025-05-24T11:15:19.538469Z
@teahsuta,2025-04-16T07:59:52Z,2025-04-16T07:59:52Z,0,"wah makasih mas vlognya salam dari kalimantan juga saya kaltim hehehe ,  darisekian banyak vlog ini membantu sekali buat cari&#39; info , kebetulan saya dapet balot MBM 2025 ini",2025-05-24T11:28:11.338019Z
@condongBersinar,2024-10-08T01:42:56Z,2024-10-08T01:42:56Z,1,balaqq mamenn strong finish tanjakan pengalaman seruu inilah hebatnyee bs jd peg.bumn bs work &amp; hobby..keep spirit..menyalaa mok😉🔥🔥🙏,2025-05-24T11:28:11.338019Z
@wibasuryaofficial5469,2024-09-16T08:32:47Z,2024-09-16T08:32:47Z,1,"Mantab, latihan brp bulan pak bisa ikut marathon",2025-05-24T11:28:11.338019Z
@AdiDi-cv6eh,2024-09-13T06:23:17Z,2024-09-13T06:23:17Z,1,Asli keren abang saye ni...satu sayunye perwakilan pontianak,2025-05-24T11:28:11.338019Z
@MuhibbinRudi,2024-09-11T10:29:56Z,2024-09-11T10:29:56Z,1,kayak gak berasa ya tanjakannya,2025-05-24T11:28:11.338019Z
@hasanuddinalbanjari6235,2024-09-10T06:10:37Z,2024-09-10T06:10:37Z,1,Tahun depan wajib ikut ni 😅,2025-05-24T11:28:11.338019Z
@soelistiong,2024-09-09T01:58:07Z,2024-09-09T01:58:07Z,1,menyala abangku🔥🔥,2025-05-24T11:28:11.338019Z
@Rumm_alg,2024-09-06T23:56:00Z,2024-09-06T23:56:00Z,1,mantappp 👏👍,2025-05-24T11:28:11.338019Z
@PUTRAYUHELMI,2024-09-06T15:04:10Z,2024-09-06T15:04:10Z,0,"Kereeen x pak, semoga bisa ikut tahun depan pak.. aamiin..",2025-05-24T11:28:11.338019Z
@dewiarumi7714,2024-09-06T10:13:06Z,2024-09-06T10:13:06Z,1,sedih aku gak dapat ballot,2025-05-24T11:28:11.338019Z
@fauziputra7219,2024-09-06T09:10:09Z,2024-09-06T09:10:09Z,1,Besar harapan sy bisa ikot di sela kegiatan Bg bro.....niiii,2025-05-24T11:28:11.338019Z
@wawanaswan3102,2024-09-06T05:39:17Z,2024-09-06T05:39:17Z,1,Di menint 2.56 tepangkak kaki ente wak 😅,2025-05-24T11:28:11.338019Z
@ajinanda7344,2024-09-06T05:29:37Z,2024-09-06T05:29:37Z,1,Antek marun❤,2025-05-24T11:28:11.338019Z
@SitiAisyah-g4v,2024-09-06T04:19:24Z,2024-09-06T04:19:24Z,1,Mantapp pak 😍,2025-05-24T11:28:11.338019Z
@AndiPtk5,2024-09-06T03:03:31Z,2024-09-06T03:03:31Z,1,"Mantapp pak, next lanjut 42 K 👏🏻",2025-05-24T11:28:11.338019Z
@ozasyarvianda5151,2024-09-06T02:50:22Z,2024-09-06T02:50:22Z,1,wow bali keren banget,2025-05-24T11:28:11.338019Z
@ziarahman2684,2024-09-06T02:48:31Z,2024-09-06T02:48:31Z,1,Semoga tahun depan juga bisa ikut acara ini,2025-05-24T11:28:11.338019Z
@gambrenk_platR,2024-09-05T15:08:46Z,2024-09-05T15:08:46Z,1,Semoga bisa ikut gabung MM tahun depan ya bang..,2025-05-24T11:28:11.338019Z
@gambrenk_platR,2024-09-05T14:57:57Z,2024-09-05T14:57:57Z,1,Keren finish strong suhu,2025-05-24T11:28:11.338019Z
@SangAyuPutuNadiaTirta,2024-08-23T23:30:04Z,2024-08-23T23:30:04Z,0,Semangat keren sekali❤🔥,2025-05-24T11:30:49.912142Z
