publish_date,text,source,Rating,text_clean,text_id
2025-05-23 17:59:13,wtb HM male 🙏,Instagram,3,wtb HM male  folded hands ,wtb HM laki-laki dilipat tangan
2025-05-20 8:53:11,🔥🔥,Instagram,4, fire  fire ,api api
2025-05-20 8:53:01,🔥🔥,Instagram,4, fire  fire ,api api
2025-05-20 8:51:58,🔥🔥,Instagram,4, fire  fire ,api api
2025-05-20 8:49:35,🔥🔥,Instagram,4, fire  fire ,api api
2025-05-20 8:45:52,🔥🔥,Instagram,4, fire  fire ,api api
2025-05-20 1:52:53,💛,Instagram,4, yellow heart ,Hati kuning
2025-05-20 1:51:50,🔥🔥,Instagram,4, fire  fire ,api api
2025-05-04 10:17:29,wtb 10K atau HM,Instagram,3,wtb 10K atau HM,wtb 10K atau HM
2025-04-30 8:04:15,let's run 🔥👏,Instagram,4,let's run  fire  clapping hands ,mari kita jalankan api bertepuk tangan
2025-04-30 8:02:59,let's run 🔥👏,Instagram,4,let's run  fire  clapping hands ,mari kita jalankan api bertepuk tangan
2025-04-30 8:00:36,let's run 🔥👏,Instagram,4,let's run  fire  clapping hands ,mari kita jalankan api bertepuk tangan
2025-04-16 7:59:52,"wah makasih mas vlognya salam dari kalimantan juga saya kaltim hehehe ,  darisekian banyak vlog ini membantu sekali buat cari&#39; info , kebetulan saya dapet balot MBM 2025 ini",YouTube,3,"wah makasih mas vlognya salam dari kalimantan juga saya kaltim hehehe ,  darisekian banyak vlog ini membantu sekali buat cari&#39; info , kebetulan saya dapet balot MBM 2025 ini","wah macasih mas vlognya salam dari kalimantan juwa saya kaltim hehe , darisek banyak vlog ini membantu sekali buat cari&#39; info , kebenutulan say a dapet MBM 2025 in"
2025-03-24 13:04:58,sampai bertemu 🙌,Instagram,3,sampai bertemu  raising hands ,Sampai bertemu mengangkat tangan
2025-03-17 21:24:00,30 milyar,Instagram,3,30 milyar,30 milyar
2025-03-12 1:39:06,"Saya punya pertanyaan. Saya seorang wanita. Pada pagi hari maraton, apakah Anda akan bersepeda dari hotel ke titik awal? Atau haruskah saya panggil mobil?",YouTube,3,"Saya punya pertanyaan. Saya seorang wanita. Pada pagi hari maraton, apakah Anda akan bersepeda dari hotel ke titik awal? Atau haruskah saya panggil mobil?",akua punya pertanya. aku seorangwanwanita. aau haruskah mengatakan pangil moil?
2025-03-11 5:34:05,Aku ada disanaaaaaa virgin FM ku,Instagram,3,Aku ada disanaaaaaa virgin FM ku,Aku ada disanaaaaaa virgin FM ku
2025-03-05 16:59:09,Cheeringnya bikin semangat. Musik gamelan balinya bikin suasana berasa otentik bali ya kak,YouTube,4,Cheeringnya bikin semangat. Musik gamelan balinya bikin suasana berasa otentik bali ya kak,MUSIK gamelan blinya bikin suasana berasa otentik bali ya kak
